iter	Logloss
0	0.6696704645
1	0.6506639688
2	0.6360097498
3	0.6239931543
4	0.6143261807
5	0.6060229708
6	0.5999058879
7	0.5942683817
8	0.590023504
9	0.5860961911
10	0.5828649292
11	0.5799795166
12	0.5778374281
13	0.5754435314
14	0.5736223284
15	0.5718851617
16	0.5703222254
17	0.5691322622
18	0.5677615886
19	0.5668780356
20	0.5659419223
21	0.5650871695
22	0.5644456778
23	0.563881205
24	0.5630325991
25	0.5624044328
26	0.5618826123
27	0.5613547415
28	0.560942727
29	0.5605959105
30	0.5602436349
31	0.5597877861
32	0.5593010846
33	0.5589439086
34	0.5586268702
35	0.5582329848
36	0.5578977958
37	0.5575500122
38	0.5572376054
39	0.5568600114
40	0.5565980158
41	0.5564167573
42	0.5561499903
43	0.5559503341
44	0.5557164294
45	0.5555611234
46	0.5553688284
47	0.5551406515
48	0.5549686349
49	0.5546551643
50	0.5544527463
51	0.5543112923
52	0.5541810789
53	0.5539533748
54	0.553811448
55	0.5535520207
56	0.5533944042
57	0.553213984
58	0.55306058
59	0.552960854
60	0.5528476521
61	0.5527193839
62	0.55257462
63	0.5524423111
64	0.5523534819
65	0.5521124631
66	0.5519258422
67	0.5517668609
68	0.5516702406
69	0.5516102868
70	0.5514991589
71	0.5512586775
72	0.5510460182
73	0.5508979767
74	0.5507039946
75	0.5505011038
76	0.5503332997
77	0.5502311451
78	0.5500383021
79	0.5499083574
80	0.5498411606
81	0.5497164493
82	0.549573061
83	0.5494957518
84	0.5492999106
85	0.5491612614
86	0.5490767092
87	0.5489717605
88	0.5488233751
89	0.5487058854
90	0.5486003349
91	0.5485445614
92	0.5484743234
93	0.5484262335
94	0.5483031128
95	0.5481781221
96	0.5480471566
97	0.5478875305
98	0.5477420788
99	0.5476003347
100	0.5475450448
101	0.5474705297
102	0.5472765261
103	0.5471930163
104	0.5471226171
105	0.5469788096
106	0.5468927315
107	0.5467772943
108	0.5466612017
109	0.5465783796
110	0.5464522929
111	0.5463956919
112	0.5463074968
113	0.5461824309
114	0.5460755693
115	0.5459491495
116	0.5458060942
