iter	Passed	Remaining
0	229	229652
1	352	175832
2	472	156986
3	599	149348
4	725	144319
5	859	142322
6	988	140262
7	1105	137111
8	1222	134622
9	1340	132747
10	1473	132492
11	1616	133130
12	1752	133017
13	1886	132896
14	2027	133133
15	2154	132505
16	2303	133187
17	2413	131673
18	2539	131113
19	2666	130672
20	2793	130209
21	2920	129830
22	3049	129549
23	3157	128412
24	3280	127953
25	3417	128016
26	3531	127249
27	3659	127020
28	3780	126584
29	3885	125617
30	4013	125466
31	4137	125165
32	4268	125082
33	4386	124632
34	4516	124516
35	4652	124583
36	4771	124181
37	4900	124064
38	5028	123908
39	5167	124030
40	5287	123669
41	5395	123078
42	5513	122702
43	5730	124503
44	5930	125862
45	6057	125622
46	6197	125672
47	6321	125382
48	6501	126188
49	6743	128127
50	6859	127634
51	6975	127160
52	7090	126683
53	7224	126562
54	7493	128748
55	7610	128285
56	7727	127845
57	7836	127268
58	7965	127041
59	8070	126441
60	8192	126116
61	8329	126020
62	8437	125483
63	8559	125185
64	8674	124785
65	8800	124546
66	8925	124285
67	9059	124164
68	9178	123848
69	9286	123372
70	9401	123011
71	9526	122787
72	9638	122392
73	9770	122257
74	9898	122076
75	10018	121799
76	10134	121482
77	10244	121092
78	10373	120931
79	10507	120839
80	10617	120464
81	10755	120409
82	10882	120229
83	10997	119921
84	11128	119796
85	11252	119586
86	11382	119452
87	11504	119233
88	11625	119000
89	11754	118853
90	11884	118715
91	12014	118582
92	12139	118396
93	12262	118192
94	12391	118046
95	12524	117942
96	12657	117835
97	12792	117743
98	12916	117556
99	13034	117313
100	13155	117094
101	13269	116825
102	13403	116725
103	13539	116645
104	13669	116514
105	13798	116374
106	13920	116177
107	14040	115964
108	14150	115667
109	14263	115405
110	14390	115256
111	14518	115114
112	14676	115200
113	14794	114983
114	14907	114721
115	15053	114716
116	15183	114587
117	15302	114382
118	15440	114310
119	15567	114161
120	15681	113918
121	15807	113758
122	15921	113523
123	16052	113403
124	16171	113200
125	16295	113030
126	16413	112826
127	16549	112745
128	16684	112651
129	16793	112384
130	16912	112190
131	17037	112033
132	17159	111859
133	17265	111579
134	17397	111473
135	17505	111209
136	17631	111067
137	17735	110782
138	17864	110657
139	17990	110514
140	18123	110411
141	18228	110143
142	18365	110066
143	18492	109928
144	18615	109767
145	18748	109668
146	18879	109549
147	18996	109358
148	19108	109137
149	19228	108961
150	19328	108677
151	19442	108467
152	19570	108339
153	19681	108120
154	19805	107970
155	19933	107844
156	20071	107771
157	20199	107646
158	20321	107485
159	20445	107340
160	20570	107195
161	20691	107033
162	20810	106863
163	20947	106778
164	21069	106622
165	21169	106357
166	21290	106199
167	21436	106160
168	21561	106021
169	21696	105932
170	21819	105777
171	21937	105607
172	22076	105534
173	22190	105338
174	22326	105254
175	22437	105046
176	22543	104819
177	22673	104704
178	22806	104606
179	22946	104536
180	23078	104428
181	23210	104320
182	23323	104125
183	23441	103957
184	23562	103803
185	23701	103724
